month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,54,21,33,-77.99999999997169,-1.4444444444439202,0.3888888888888889
2024-02,30,7,23,-145.99999999998374,-4.8666666666661245,0.23333333333333334
2024-03,29,12,17,-25.99999999998488,-0.8965517241374097,0.41379310344827586
2024-04,42,18,24,-23.999999999978172,-0.5714285714280517,0.42857142857142855
2024-05,36,14,22,-51.99999999998113,-1.4444444444439202,0.3888888888888889
2024-06,36,16,20,-7.999999999981355,-0.22222222222170432,0.4444444444444444
2024-07,29,10,19,-69.99999999998465,-2.4137931034477464,0.3448275862068966
2024-08,33,13,20,-43.99999999998272,-1.3333333333328097,0.3939393939393939
2024-09,43,17,26,-55.99999999997749,-1.3023255813948253,0.3953488372093023
2024-10,51,23,28,-3.9999999999736247,-0.07843137254850245,0.45098039215686275
2024-11,22,9,13,-21.999999999988518,-0.9999999999994781,0.4090909090909091
2024-12,47,21,26,-7.999999999975671,-0.17021276595692916,0.44680851063829785
